dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2005-09-01,1,4,1,1,1,0,0,0,0,0,0,0,0
2005-10-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2005-11-01,1,6,0,1,0,0,0,0,0,0,0,0,0
2005-12-01,1,14,0,1,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-03-01,1,11,0,1,0,0,0,0,0,0,0,0,0
2006-04-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2006-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-08-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,1,12,0,1,0,0,0,0,0,0,0,0,0
2006-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2008-07-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2008-08-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2008-09-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,1,15,0,1,0,0,0,0,0,0,0,0,0
2009-09-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2009-10-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2010-01-01,1,3,0,1,0,0,0,0,0,0,0,0,0
2010-02-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,1,7,0,1,0,0,0,0,0,0,0,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
